iso3,year,CAGDP,RELY,RELDEPY,RELDEPO,YGRAVG,YGRSD,LREER,OPEN,FDEEP,NSGDP,TOTSD,ka_open,NFAGDP
ABW,1971,NA,NA,0.8309278211476032,0.8332616926933375,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABW,1976,NA,NA,0.7008673517251054,0.9301215156125643,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABW,1981,NA,NA,0.6520828547755445,1.0575106575004407,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABW,1986,-8.809510503106294,0.9097585587599452,0.6070370039854913,1.114132645628329,12.704580578155497,6.415822037508947,NA,NA,50.3580331752276,NA,NA,NA,-0.7433209298244092
ABW,1991,-1.8232440832765067,0.9332935744718611,0.6784711455388749,0.9285539791421334,6.380792782245393,2.325464983952196,NA,171.362098138748,55.46010131740866,30.9560067681895,NA,0.418132960796356,-0.3355288672122998
ABW,1996,-6.627777943409102,0.8410042566293531,0.6244726728301218,0.8865294167216852,3.817122088838916,3.233500627044908,NA,163.405058859646,52.16996415592496,24.1212235173491,NA,0.162431985139847,-0.307669343790471
ABW,2001,1.4599315876749945,0.8315429349099303,0.6177195927814592,0.9714924700443125,2.2516286295322976,3.4500507752241774,NA,136.7794762505976,57.34182209206108,12.32766186957415,16.09396720620446,0.162431985139847,-0.5967395519023906
ABW,2006,2.0386711348737308,0.7568441343397684,0.6334705534261108,1.097520153795514,-1.6716974282021542,6.0011437709001285,NA,138.6292633323418,61.91115104571916,9.438046838495803,5.925200418551258,0.162431985139847,-1.276311353398278
ABW,2011,-3.7763695991529103,0.663681647026937,0.6122796665770482,1.2169740804348155,2.759495340646072,2.7749407126870684,NA,152.7597884771218,69.7367115554699,7.68675396772138,23.239363158227896,0.162431985139847,-1.19874964839673
ABW,2016,-1.0021200752351138,0.5823351570719333,0.6230393320727271,1.3785192195255631,-2.946528247582014,11.760657733187042,NA,135.0229046043048,82.79303515764332,10.927229105577261,17.724361765660284,0.162431985139847,-1.350999055324936
ABW,2021,4.91972199981375,0.5315022578564956,0.6217635992655995,1.5130689904914958,11.02461509295942,3.5279623507267504,NA,153.19031368381167,92.8735112870739,14.482071578769377,32.221731797034124,0.162431985139847,-1.2150201294116911
AFG,1971,NA,NA,1.1863502569143458,0.5255597129889995,NA,NA,NA,NA,NA,NA,NA,0.4159194976091386,NA
AFG,1976,NA,NA,1.30514704328888,0.5038562852500081,NA,NA,NA,NA,NA,NA,NA,0.15190829783678061,NA
AFG,1981,NA,NA,1.4301353355045512,0.4873428579572022,NA,NA,NA,NA,NA,NA,NA,0.0324863970279694,NA
AFG,1986,NA,NA,1.5291357341019685,0.454942381582764,NA,NA,NA,NA,NA,NA,NA,0,NA
AFG,1991,NA,NA,1.6347537638920413,0.44486611780684193,NA,NA,NA,NA,NA,NA,NA,0,NA
AFG,1996,NA,0.022393364216289312,1.8243815667227363,0.4404785140342578,NA,NA,NA,NA,NA,NA,NA,0,NA
AFG,2001,NA,0.023335861177843593,2.0317438233796343,0.4285300458215009,8.128827544831092,13.987926682878024,NA,NA,NA,NA,12.047027225127636,NA,-2.8678231653777826
AFG,2006,-1.25509497000863,0.0296099039596447,2.1123566885581497,0.4051115388913583,11.772335295666318,7.179300420679642,NA,NA,29.02026568411614,NA,4.8757563515828,NA,-4.108512086172009e-4
AFG,2011,-20.2930710866891,0.03877083903368977,2.0442661867855714,0.36849955863470146,4.591048910187843,4.957613980505314,NA,NA,34.07151728371264,NA,6.550801477681949,NA,0.2044636729137732
AFG,2016,-18.27603954297656,0.03902900166961851,1.9399976241610402,0.31642764752137187,1.531409655841868,2.378662848148773,NA,46.7098945514103,36.63179537837358,-2.73776944122657,4.891523280124508,NA,0.2837485237203304
AFG,2021,NA,0.028028920053563448,1.9059494897143188,0.2804586006547165,-8.237355874515035,11.632199777030628,NA,63.9606170450064,NA,NA,2.688865931949754,NA,0.06095834922817572
AGO,1971,NA,NA,1.2592131930335502,0.5570074359888579,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGO,1976,NA,NA,1.2700311368562982,0.47337054273967394,NA,NA,NA,NA,NA,NA,NA,NA,-1.01753959123257
AGO,1981,2.58139146821177,NA,1.3005128007840185,0.4385039871733992,1.860000373012762,4.12165131341487,NA,NA,NA,NA,NA,NA,-1.0966927414806678
AGO,1986,-1.498787674531258,0.1550891712315658,1.3742423001611819,0.42947098662404204,1.9406327264123404,3.732183724009924,NA,NA,NA,NA,11.261544931120609,NA,-0.844121596728985
AGO,1991,-7.776348016824506,0.1179315879389142,1.4711989264911292,0.44575809975883596,-2.4981950815602456,14.193851039603624,NA,NA,36.4871300806511,NA,5.430420312557843,0,-6.070026633080482
AGO,1996,-3.186809251044777,0.10796501372033313,1.571841840924665,0.47193896792263074,6.149181502670844,4.566163021595388,NA,NA,22.95200222321126,NA,15.890011318389153,0.162431985139847,-1.728380295100768
AGO,2001,-1.0965211991600274,0.11210431598114497,1.6817942111087723,0.4728937977144881,9.386728128576074,5.167700239256687,NA,91.74475872924715,14.167528643994,32.71340895617942,22.97523023108978,0.162431985139847,-0.9076923576511808
AGO,2006,7.71675005926426,0.14522402510770355,1.8025385728713932,0.45143009729077427,8.584079539449833,4.722903044786766,NA,96.75757799052796,26.159756799481798,38.5041578588556,20.638846867012703,0.0324863970279694,-0.056932283543950656
AGO,2011,2.6148333505467902,0.1550252143159125,1.8996478473717606,0.4134687034284387,4.47979100240458,2.782932326992445,NA,74.57714951778532,31.327243474395722,31.04563810927176,41.887384735741136,0,-0.12113984726601526
AGO,2016,2.042449817624212,0.13038786399073782,1.9675470767820435,0.36446310556819844,-1.3382930615215458,1.635204849894848,NA,53.33108831777736,30.48588248354512,27.44290703377332,22.914733251774937,0,-0.378582353137967
AGO,2021,7.809100956664113,0.1219782141045663,2.0166883180102166,0.3396414604993901,2.52735441472886,1.5214520031742125,NA,56.604823524424035,19.635667613091865,21.337364131066867,22.084157217335697,0,-0.22483878842572552
ALB,1971,NA,NA,1.0420232750676417,0.9541955599870956,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALB,1976,1.01387609500286,NA,0.9640058112284662,0.9161626037546274,NA,NA,NA,47.4940925041872,NA,NA,NA,NA,NA
ALB,1981,-1.313570009847388,NA,0.912199563642276,0.8754022854416554,2.06564353412243,2.5656484360359,NA,41.07444049777098,NA,28.1106133722528,NA,NA,NA
ALB,1986,-1.7599675085694593,0.11116905686227421,0.8759040783329665,0.8722884270395259,0.7380539339736196,7.418602995497029,NA,36.039557879371436,NA,24.726923010445738,NA,NA,NA
ALB,1991,-6.110887650334167,0.08410893312326162,0.8582907641973571,0.9186071664325096,-0.800928193693038,17.105346978853515,NA,63.7231217524595,39.8326559478891,2.026846315411716,NA,0.418132960796356,-0.22197091156251242
ALB,1996,-5.3562155476736075,0.09917853329778727,0.8599154786035531,1.0265863378916102,4.72967355698601,9.406975229251929,NA,49.55529324457336,58.76153320022188,19.466661549374443,NA,0.418132960796356,-0.07242091069376058
