Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,813.550255989624,747.688045492413,926.507941011646,966.962032055781,971.633503046666,1076.08735260871,1121.83447077749,1286.94984312675,1333.74726661897,1570.69814517949,1765.53802830615,1744.06062321558,1988.42930381554,2133.24127098647,2224.49074815215,2284.07584789349,2213.1814410479,2335.79586234454,2432.27670083336,2583.48533239877,2561.98176058622,2144.16657002819,2122.99581512663,2201.72290691677,..,..
Afghanistan,AFG,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,75.9493703863132,76.1911292021901,76.4376325923089,76.8080114969298,77.3435538691874,78.0763234831312,78.9329589279277,79.7800089002556,80.6177941986019,81.4480957456495,82.2553064306771,83.0330427466682,83.7937040580158,84.5406421699309,85.2832549800596,86.0134619369295,86.7249631360274,87.4276885886367,88.1243157088636,88.8259156069425,89.5575407310677,90.2935428101997,90.9982526552229,91.5936145784776,92.158178865358,92.7325277223042,93.2705725878936,93.7511325142155,94.2119844302162,94.6648881283405,95.1866002536073,95.8422017261386,96.6212234099997,97.4576927594942,98.4206505369843,99.4812247587544,100.579512433176,101.737403838947,102.893558734975,103.963881228579,104.845273765636,105.464293875656,105.768162057,105.784720870845,105.514677301786,104.968217894659,104.143637375572,103.00870360712,101.62258744949,100.102302423412,98.458695491197,96.7801632564467,95.1026091413099,93.4095196912327,91.7194238410017,90.0267905683716,88.3463553934864,86.7795924086167,85.3556370774652,84.0326903183033,82.8086718663843,81.7057602287166,80.6063615512807,79.4653966265569,78.3884288293884,..
Afghanistan,AFG,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,5.11201905233701,5.09290674973051,5.06917574290293,5.04656900335327,5.02945951585938,5.01989044519751,5.01582479203084,5.01390445065547,5.01248531013096,5.00886640348956,5.00236018280387,4.99330965814889,4.98193176224362,4.97009804586322,4.9605227965993,4.95375897619434,4.94936349748289,4.94737887942241,4.94086745882622,4.92122814263453,4.89422495246609,4.86620101114549,4.81870229007634,4.75827707854952,4.67395898689905,4.56974700710311,4.50327398425093,4.47157082528498,4.4584083090799,4.46622971284846,4.47790881741105,4.49160395158615,4.50974098903797,4.53904164372607,4.57603372103597,4.61138198547922,4.64444093224788,4.67498487040001,4.70005695823933,4.72214961527294,4.74077396485904,4.75504748362933,4.76644897360256,4.77281869463128,4.77063070542604,4.76030753854437,4.74549781638364,4.72854695742565,4.71178807569322,4.69716506712254,4.6857602031036,4.67814503564169,4.67052179557662,4.65403911752632,4.62696994412791,4.58644314291051,4.54351582672391,4.51402627677695,4.49396889834487,4.47933729391896,4.43914504829198,4.37770795171109,4.35612777763319,4.37077621707188,4.388419486435,..
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-9.4319740700862,28.6000011706788,8.83227780288267,1.41411799339429,11.2297148272859,5.35740324748592,13.8263195471281,3.92498381999467,21.3905283926492,14.3624414710737,0.426354776777345,12.7522870926697,5.60074465863221,2.72454336219565,1.45131466066431,2.26031420279821,2.6470032027451,1.18922812944517,3.91160341625552,-2.35110067203466,-20.7388393676343,-6.24017199240269,2.26694373649188,..,..
Afghanistan,AFG,Gross savings (% of GDP),NY.GNS.ICTR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-2.73776944122657,..,..,..,..,..
Afghanistan,AFG,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-2.35799044700136,2.23601941932175,-3.64331388234628,-12.6195382087159,-25.8706814974751,-25.290058564309,-15.7724198274304,-21.9126573355151,-14.9501951919169,-18.9559612272258,-21.5852741164653,-20.1704643881064,-15.7183027911684,..,..,..,..,..
Afghanistan,AFG,Real effective exchange rate index (2010 = 100),PX.REX.REER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.7098945514103,51.4117163747271,72.8854696086536,67.5846651516385,..,..
Afghanistan,AFG,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.3438645266527,23.833664421484,29.5122807993009,33.0609569578245,35.3505617153186,36.6242278045429,32.9136922701029,32.6820168994225,34.2095967895183,33.9280526549766,37.2228186582708,36.8612612972957,36.6074938854128,34.9592143142587,37.5081887366299,..,..,..,..,..
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2655.67313273989,1988.64061135552,1899.25886914895,2143.17607432673,2385.27957998377,2776.82881449807,3054.03520620926,2760.06536374301,3085.7858936517,3549.2725597965,3977.77186916171,4450.51418504094,4840.33200843758,5169.18875806327,5594.79162347874,6014.31696992585,6752.90148641683,7584.68922249536,8469.24537549543,9030.60955535693,9754.84278665039,10273.4199783271,10608.8448172721,10882.026128835,11787.8549638025,12386.592266883,13055.8417473139,14110.683242211,15055.2807998752,16442.1259393239,16287.6097663649,18212.8702466686,22138.4182857345,24822.3543089995,26701.6749563776,..
